orgao_sigla,entry_type,field,original_value,current_value,eixo_original,eixo_normalizado,confidence,review_reason,servico_acao,tabela_tipo
ANAC,delivery,produto / eixo,sOutros,Outros,Projetos Especiais,Projetos Especiais,medium,fuzzy=0.92,Assistência de IA para classificação de reportes de safety - Assistente para facilitar a clas,pactuada
ANAC,delivery,produto / eixo,sOutros,Outros,Projetos Especiais,Projetos Especiais,medium,fuzzy=0.92,"Corsia - Criação de aplicação para monitorar e reportar, em base anual, os dados de emi",pactuada
ANAC,delivery,produto / eixo,Outros,Outros,Projetos Especiais,Projetos Especiais,high,produto Outros,Lançamento da Plataforma ANAC de reclamação de passageiros - ANAC Passageiros,pactuada
ANAC,delivery,produto / eixo,Outros,Outros,Projetos Especiais,Projetos Especiais,high,produto Outros,Plataforma Santos Dumont CX (MVP) - Implantação de abordagem pró-ativa e personaliz,pactuada
ANAC,delivery,produto / eixo,eOutros,Outros,Projetos Especiais,Projetos Especiais,medium,fuzzy=0.92,Safety Intelligence - Envio em lote de reportes de safety (facilitar o envio de reportes de s,pactuada
ANAC,delivery,produto / eixo,Outros,Outros,Projetos Especiais,Projetos Especiais,high,produto Outros,Safety Intelligence - Portal de coleta de indicadores de SGSO (MVP) - plataforma de colet,pactuada
ANAC,delivery,produto / eixo,Outros,Outros,Projetos Especiais,Projetos Especiais,high,produto Outros,Superapp - CHT figital (impressão da CHT com QR offline e validação biométrica da foto),pactuada
ANAC,delivery,produto / eixo,Migração de Serviço para Plataforma Unificada,Migração de Serviço para Plataforma Unificada,Serviços Digitais e Melhoria da Qualidade,Unificação de Canais Digitais,high,eixo corrigido por cross-validation: 'Serviços Digitais e Melhoria da Qualidade' → 'Unificação de Canais Digitais',Superapp - Emitir de confirmação de aprovação de exames teóricos,pactuada
ANATEL,delivery,produto / eixo,Integração ao Login Único,Integração ao Login Único,Serviços Digitais e Melhoria da Qualidade,Unificação de Canais Digitais,high,eixo corrigido por cross-validation: 'Serviços Digitais e Melhoria da Qualidade' → 'Unificação de Canais Digitais',,pactuada
ANATEL,delivery,produto / eixo,Integração ao Login Único,Integração ao Login Único,Serviços Digitais e Melhoria da Qualidade,Unificação de Canais Digitais,high,eixo corrigido por cross-validation: 'Serviços Digitais e Melhoria da Qualidade' → 'Unificação de Canais Digitais',,pactuada
ANATEL,delivery,produto / eixo,Integração ao Login Único,Integração ao Login Único,Serviços Digitais e Melhoria da Qualidade,Unificação de Canais Digitais,high,eixo corrigido por cross-validation: 'Serviços Digitais e Melhoria da Qualidade' → 'Unificação de Canais Digitais',,pactuada
ANATEL,delivery,produto / eixo,Integração ao Login Único,Integração ao Login Único,Serviços Digitais e Melhoria da Qualidade,Unificação de Canais Digitais,high,eixo corrigido por cross-validation: 'Serviços Digitais e Melhoria da Qualidade' → 'Unificação de Canais Digitais',,pactuada
ANATEL,delivery,produto / eixo,Integração ao Login Único,Integração ao Login Único,Serviços Digitais e Melhoria da Qualidade,Unificação de Canais Digitais,high,eixo corrigido por cross-validation: 'Serviços Digitais e Melhoria da Qualidade' → 'Unificação de Canais Digitais',,pactuada
ANATEL,delivery,produto / eixo,Integração ao Login Único,Integração ao Login Único,Serviços Digitais e Melhoria da Qualidade,Unificação de Canais Digitais,high,eixo corrigido por cross-validation: 'Serviços Digitais e Melhoria da Qualidade' → 'Unificação de Canais Digitais',,pactuada
ANATEL,delivery,produto / eixo,Integração ao Login Único,Integração ao Login Único,Serviços Digitais e Melhoria da Qualidade,Unificação de Canais Digitais,high,eixo corrigido por cross-validation: 'Serviços Digitais e Melhoria da Qualidade' → 'Unificação de Canais Digitais',,pactuada
ANCINE,delivery,produto / eixo,Integração à base de dados (OUTROS),Integração à base de dados,Governança e Gestão de Dados,Governança e Gestão de Dados,medium,fuzzy=0.85,Integrar API Registro de Referência de Municípios ao serviço “Solicitar reconhecimento provisório de coprodução internacional,pactuada
ANCINE,delivery,produto / eixo,Integração à base de dados (OUTROS),Integração à base de dados,Governança e Gestão de Dados,Governança e Gestão de Dados,medium,fuzzy=0.85,Integrar API Registro de Referência de Países ao serviço “Solicitar reconhecimento provisório de coprodução internacional,pactuada
ANCINE,delivery,produto / eixo,Outros,Outros,Projetos Especiais,Projetos Especiais,high,produto Outros,"Consulta de adimplência aberta via Ancine - Ferramenta para consulta externa visando emissão da ""Declaração de Adimplência Perante a ANCINE"", com detalhamento das pendências (quando houver).",pactuada
ANCINE,delivery,produto / eixo,Outros,Outros,Projetos Especiais,Projetos Especiais,high,produto Outros,Solução Cinema.gov.br - Ferramenta facilitadora de acesso aos conteúdos audiovisuais brasileiros disponíveis em serviços operados por agentes públicos ou privados atuantes no Brasil.,pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Ancine - Solicitar parcelamento de multa administrativa,pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Impetrar recurso relativo aos processos de prestação de contas concluídos,pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Obter novo valor de pagamento para CONDECINE em atraso - após emissão de NFL,pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Realizar entrega de objeto de projeto de desenvolvimento,pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Registrar mostras e festivais para fins de autorização de isenção de CONDECINE,pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Solicitar Liberação de Recursos após a primeira liberação,pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,"Solicitar a Aprovação para Execução e 1ª Liberação de Recursos – Projetos de Desenvolvimento, de Distribuição e de Festivais",pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Solicitar abertura de conta de recolhimento,pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Solicitar cancelamento de projetos que não tiveram liberação de recursos,pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Solicitar cancelamento de registro de obra audiovisual não publicitária,pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,"Solicitar cancelamento de registro de obra audiovisual publicitária ( canal atual: Portal de Serviços, esteira Balcão Digital )",pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,"Solicitar classificação ou revisão de classificação de nível de empresa produtora registrada na Ancine ( canal atual: Portal de Serviços, esteira Balcão Digital )",pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Solicitar coexecução de projeto,pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Solicitar dispensa de cota de empacotamento,pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Solicitar dispensa de cota de programação,pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Solicitar dispensa temporária de uso do Sistema de Controle de Bilheteria (SCB),pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Solicitar estorno de depósitos indevidos em conta de captação,pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Solicitar lançamento de captações para projetos sem liberação de recursos (Arts. 1º e 1-A da Lei nº 8.685/1993 e mecanismos da Lei Nº 8.313/1991),pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Solicitar parcelamento de débito relativo às glosas de processos de prestação de contas concluídos,pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Solicitar priorização de análise nos termos da Portaria n. 611,pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Solicitar prorrogação de prazo de diligências relacionadas à análise de processos de prestação de contas,pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,"Solicitar prorrogação de prazo para conclusão, execução financeira ou prestação de contas de projeto financiado por leis de incentivo",pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Solicitar reconhecimento provisório de coprodução internacional.,pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Solicitar reinvestimento de valores captados,pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Solicitar remanejamento de fontes de financiamento,pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Solicitar remanejamento interno do orçamento,pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Solicitar revisão da aprovação para captação,pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Solicitar troca de titularidade de projeto de fomento indireto,pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Solicitar vistas aos processos de prestação de contas,pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Solicitar vistas de processos de fomento,pactuada
