orgao_sigla,servico_acao,produto_original,produto_normalizado,produto_score,eixo_original,eixo_normalizado,data_pactuada,confidence
ANTAQ,,"Auto-avaliação, análise de lacunas e planejamento do PPSI","Auto-avaliação, análise de lacunas e planejamento do PPSI",1.0,Segurança e Privacidade,Segurança e Privacidade,31/07/2024,high
ANTAQ,,Implementação do PPSI,Implementação do PPSI,1.0,Segurança e Privacidade,Segurança e Privacidade,31/07/2024,high
ANTAQ,,"Auto-avaliação, análise de lacunas e planejamento do PPSI","Auto-avaliação, análise de lacunas e planejamento do PPSI",1.0,Segurança e Privacidade,Segurança e Privacidade,17/02/2025,high
ANTAQ,,Implementação do PPSI,Implementação do PPSI,1.0,Segurança e Privacidade,Segurança e Privacidade,17/02/2025,high
ANTAQ,,"Auto-avaliação, análise de lacunas e planejamento do PPSI","Auto-avaliação, análise de lacunas e planejamento do PPSI",1.0,Segurança e Privacidade,Segurança e Privacidade,01/07/2025,high
ANVISA,12912,Evolução do Serviço,Evolução do Serviço,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,1TRIM25,high
ANVISA,12912,Integração com Assinatura Digital Gov.br,Integração com Assinatura Digital Gov.br,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,1TRIM25,high
ANVISA,12911,Evolução do Serviço,Evolução do Serviço,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,1TRIM25,high
ANVISA,12911,Integração com Assinatura Digital Gov.br,Integração com Assinatura Digital Gov.br,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,1TRIM25,high
ANVISA,12913,Evolução do Serviço,Evolução do Serviço,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,1TRIM25,high
ANVISA,12913,Integração com Assinatura Digital Gov.br,Integração com Assinatura Digital Gov.br,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,1TRIM25,high
ANVISA,11204,Evolução do Serviço,Evolução do Serviço,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,1TRIM25,high
ANVISA,11204,Integração com Assinatura Digital Gov.br,Integração com Assinatura Digital Gov.br,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,1TRIM25,high
ANVISA,11230,Evolução do Serviço,Evolução do Serviço,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,1TRIM25,high
ANVISA,11230,Integração com Assinatura Digital Gov.br,Integração com Assinatura Digital Gov.br,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,1TRIM25,high
ANVISA,11229,Evolução do Serviço,Evolução do Serviço,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,1TRIM25,high
ANVISA,11229,Integração com Assinatura Digital Gov.br,Integração com Assinatura Digital Gov.br,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,1TRIM25,high
ANVISA,10021,Evolução do Serviço,Evolução do Serviço,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,1TRIM25,high
ANVISA,10021,Integração com Assinatura Digital Gov.br,Integração com Assinatura Digital Gov.br,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,1TRIM25,high
ANVISA,10016,Evolução do Serviço,Evolução do Serviço,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,1TRIM25,high
ANVISA,10016,Integração com Assinatura Digital Gov.br,Integração com Assinatura Digital Gov.br,1.0,Unificação de Canais Digitais,Unificação de Canais Digitais,1TRIM25,high
ANVISA,10041,Evolução do Serviço,Evolução do Serviço,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,1TRIM25,high
